"loan_amount","borrower_income","borrower_race","bank_action"
161000,155000,"W","approved"
67000,218000,"W","approved"
284000,110000,"W","approved"
224000,132000,"W","approved"
569000,270000,"W","approved"
309000,99000,"W","approved"
307000,97000,"O","approved"
1e+05,164000,"W","approved"
308000,74000,"W","approved"
451000,171000,"W","approved"
4e+05,168000,"W","approved"
3e+05,192000,"W","approved"
183000,80000,"B","approved"
222000,126000,"B","approved"
143000,80000,"W","approved"
379000,181000,"W","denied"
359000,155000,"W","approved"
304000,102000,"W","approved"
204000,8000,"W","approved"
55000,119000,"W","approved"
212000,73000,"W","approved"
142000,35000,"W","approved"
167000,57000,"A","approved"
233000,110000,"W","approved"
165000,59000,"B","denied"
239000,83000,"W","approved"
224000,103000,"W","approved"
196000,78000,"W","approved"
244000,106000,"B","denied"
219000,2e+05,"O","approved"
228000,163000,"W","approved"
292000,114000,"W","approved"
135000,36000,"O","approved"
395000,147000,"W","approved"
171000,37000,"W","approved"
319000,142000,"W","approved"
445000,236000,"W","approved"
233000,70000,"A","denied"
390000,158000,"W","approved"
206000,47000,"W","denied"
252000,109000,"W","approved"
231000,87000,"W","approved"
260000,135000,"B","approved"
158000,45000,"W","approved"
160000,50000,"W","approved"
132000,31000,"W","denied"
217000,98000,"A","approved"
170000,70000,"W","approved"
164000,64000,"W","approved"
252000,77000,"W","approved"
206000,52000,"B","approved"
176000,59000,"W","approved"
235000,86000,"W","denied"
187000,51000,"B","approved"
428000,185000,"B","approved"
334000,103000,"W","approved"
311000,66000,"W","denied"
124000,49000,"W","approved"
192000,42000,"W","approved"
325000,117000,"W","approved"
197000,62000,"W","approved"
306000,75000,"B","denied"
129000,45000,"W","approved"
180000,103000,"O","approved"
475000,162000,"W","approved"
190000,88000,"W","approved"
328000,97000,"W","approved"
199000,163000,"W","approved"
341000,236000,"W","approved"
396000,197000,"W","approved"
550000,181000,"W","approved"
626000,225000,"W","approved"
356000,1e+05,"B","approved"
124000,40000,"B","approved"
349000,124000,"W","approved"
310000,439000,"W","approved"
276000,86000,"W","approved"
280000,102000,"B","approved"
190000,212000,"W","approved"
480000,138000,"W","approved"
320000,70000,"W","approved"
88000,30000,"W","approved"
226000,75000,"B","approved"
4e+05,208000,"W","approved"
194000,167000,"W","approved"
274000,312000,"W","approved"
555000,297000,"B","denied"
308000,89000,"B","denied"
205000,70000,"B","approved"
204000,52000,"W","approved"
115000,50000,"O","approved"
269000,72000,"B","approved"
314000,68000,"W","approved"
6e+05,218000,"W","approved"
441000,178000,"W","approved"
220000,85000,"A","approved"
144000,59000,"W","approved"
191000,70000,"W","approved"
417000,192000,"B","approved"
101000,31000,"W","approved"
146000,44000,"W","approved"
260000,130000,"B","denied"
84000,38000,"W","approved"
545000,226000,"W","approved"
175000,91000,"W","approved"
116000,56000,"O","approved"
456000,151000,"W","approved"
313000,80000,"W","approved"
152000,125000,"W","denied"
680000,268000,"W","approved"
216000,43000,"B","denied"
206000,38000,"W","approved"
287000,116000,"B","approved"
80000,82000,"W","approved"
96000,64000,"W","approved"
361000,184000,"W","approved"
202000,60000,"W","approved"
362000,88000,"W","approved"
211000,56000,"W","denied"
152000,73000,"A","approved"
125000,176000,"W","approved"
308000,106000,"W","approved"
432000,167000,"W","approved"
407000,225000,"W","approved"
220000,59000,"O","denied"
324000,73000,"W","approved"
361000,108000,"W","approved"
312000,113000,"W","approved"
584000,218000,"W","approved"
599000,168000,"W","approved"
380000,135000,"W","approved"
333000,121000,"B","approved"
329000,62000,"W","approved"
259000,62000,"W","approved"
324000,92000,"W","approved"
260000,130000,"B","approved"
398000,142000,"W","approved"
328000,1392000,"W","approved"
206000,97000,"A","approved"
326000,70000,"W","approved"
338000,109000,"B","approved"
252000,158000,"W","approved"
231000,70000,"B","approved"
260000,69000,"A","denied"
223000,129000,"B","approved"
314000,95000,"W","approved"
325000,276000,"W","approved"
140000,80000,"W","approved"
453000,219000,"W","approved"
424000,188000,"B","approved"
304000,134000,"W","approved"
430000,241000,"W","approved"
175000,67000,"W","approved"
382000,143000,"W","approved"
257000,139000,"W","denied"
379000,113000,"W","denied"
195000,116000,"W","denied"
154000,50000,"W","approved"
120000,31000,"W","approved"
404000,95000,"W","approved"
229000,129000,"W","denied"
243000,75000,"W","approved"
267000,132000,"W","approved"
231000,119000,"W","approved"
345000,83000,"B","approved"
93000,69000,"W","approved"
183000,72000,"B","approved"
626000,203000,"W","approved"
155000,93000,"W","approved"
380000,190000,"W","approved"
169000,41000,"W","approved"
368000,195000,"W","approved"
202000,53000,"W","denied"
255000,95000,"W","approved"
113000,135000,"W","approved"
268000,74000,"W","approved"
255000,59000,"W","denied"
318000,84000,"W","approved"
233000,94000,"B","approved"
350000,114000,"W","approved"
343000,104000,"W","approved"
165000,40000,"B","approved"
368000,94000,"W","approved"
561000,154000,"O","approved"
344000,118000,"B","approved"
276000,137000,"W","approved"
205000,43000,"B","approved"
352000,62000,"W","approved"
295000,86000,"W","approved"
427000,96000,"W","denied"
333000,631000,"W","approved"
180000,48000,"W","approved"
476000,389000,"W","approved"
245000,164000,"W","approved"
241000,68000,"W","approved"
193000,87000,"W","approved"
136000,48000,"W","denied"
398000,434000,"W","approved"
160000,120000,"W","approved"
302000,92000,"W","denied"
210000,96000,"W","approved"
508000,222000,"A","approved"
185000,69000,"B","approved"
279000,119000,"W","approved"
315000,137000,"W","approved"
187000,229000,"W","approved"
302000,281000,"W","approved"
520000,152000,"W","denied"
626000,256000,"W","approved"
360000,166000,"B","approved"
356000,153000,"W","approved"
203000,86000,"W","approved"
313000,106000,"A","denied"
304000,65000,"W","approved"
311000,133000,"W","approved"
391000,581000,"W","approved"
138000,68000,"B","approved"
240000,135000,"W","approved"
73000,895000,"W","approved"
261000,179000,"W","approved"
160000,27000,"W","approved"
362000,184000,"W","approved"
232000,96000,"W","approved"
95000,82000,"W","approved"
337000,153000,"W","approved"
262000,149000,"W","approved"
242000,86000,"W","approved"
506000,794000,"W","approved"
233000,691000,"W","denied"
2e+05,352000,"W","approved"
149000,48000,"W","approved"
258000,61000,"W","approved"
182000,53000,"B","approved"
240000,120000,"W","approved"
133000,37000,"W","approved"
135000,41000,"B","approved"
222000,168000,"W","approved"
333000,240000,"W","approved"
118000,46000,"W","approved"
90000,48000,"W","approved"
104000,33000,"W","approved"
48000,21000,"W","approved"
170000,324000,"W","approved"
155000,67000,"B","denied"
165000,87000,"W","approved"
94000,56000,"W","approved"
50000,28000,"W","denied"
95000,33000,"A","denied"
145000,27000,"B","approved"
110000,149000,"W","approved"
116000,51000,"W","approved"
180000,81000,"W","denied"
206000,116000,"W","approved"
3e+05,96000,"W","approved"
309000,65000,"W","denied"
192000,152000,"A","approved"
204000,96000,"O","approved"
170000,101000,"W","approved"
152000,45000,"W","denied"
296000,112000,"W","approved"
110000,41000,"W","approved"
230000,38000,"W","approved"
312000,163000,"W","approved"
135000,91000,"W","approved"
162000,50000,"A","approved"
174000,73000,"W","approved"
220000,63000,"B","approved"
152000,37000,"W","approved"
205000,81000,"W","approved"
146000,35000,"W","approved"
115000,48000,"W","approved"
67000,61000,"W","approved"
20000,70000,"W","approved"
71000,84000,"W","approved"
113000,46000,"W","approved"
2e+05,47000,"W","approved"
145000,59000,"W","approved"
117000,32000,"W","denied"
2e+05,68000,"W","approved"
159000,84000,"W","approved"
124000,93000,"B","approved"
214000,66000,"W","approved"
120000,35000,"W","approved"
123000,26000,"W","approved"
132000,50000,"W","approved"
123000,48000,"B","approved"
123000,110000,"A","approved"
171000,33000,"W","approved"
80000,54000,"W","denied"
107000,82000,"W","denied"
138000,80000,"A","approved"
118000,60000,"W","denied"
170000,63000,"W","approved"
215000,107000,"W","denied"
64000,77000,"W","approved"
69000,63000,"W","approved"
136000,32000,"B","approved"
2e+05,47000,"W","approved"
238000,80000,"B","approved"
236000,83000,"W","approved"
103000,107000,"W","approved"
166000,40000,"W","denied"
204000,118000,"W","approved"
163000,74000,"W","approved"
264000,178000,"W","approved"
116000,30000,"W","approved"
84000,27000,"W","approved"
368000,183000,"W","approved"
301000,129000,"B","approved"
261000,147000,"W","approved"
107000,64000,"W","approved"
158000,60000,"W","approved"
296000,642000,"W","approved"
198000,46000,"W","denied"
194000,163000,"A","approved"
234000,85000,"W","approved"
354000,95000,"W","approved"
85000,99000,"W","approved"
226000,117000,"W","approved"
2e+05,76000,"W","approved"
248000,130000,"W","approved"
189000,84000,"A","approved"
274000,137000,"W","approved"
189000,103000,"W","approved"
144000,190000,"W","approved"
54000,50000,"W","approved"
130000,51000,"W","approved"
299000,120000,"W","approved"
178000,54000,"W","approved"
90000,35000,"W","approved"
276000,124000,"B","approved"
176000,111000,"W","approved"
237000,214000,"W","approved"
288000,155000,"W","approved"
234000,140000,"W","approved"
103000,55000,"W","denied"
98000,66000,"W","approved"
147000,121000,"W","approved"
154000,106000,"W","approved"
222000,108000,"B","approved"
241000,63000,"W","approved"
2e+05,167000,"W","approved"
144000,83000,"W","approved"
195000,61000,"B","approved"
136000,38000,"W","denied"
225000,94000,"W","approved"
172000,98000,"W","approved"
195000,74000,"W","approved"
265000,334000,"W","approved"
56000,161000,"O","approved"
130000,47000,"B","denied"
292000,135000,"W","approved"
